nm_kecamatan,month,mean_ndvi
Adimulyo,1,0.6849301309192201
Adimulyo,2,0.7187865793871867
Adimulyo,3,0.5819132562674095
Adimulyo,4,0.5343917966573816
Adimulyo,5,0.6745377576601672
Adimulyo,6,0.7193722674094708
Adimulyo,7,0.6071202729805014
Adimulyo,8,0.5590388523676881
Adimulyo,9,0.5045685181058496
Adimulyo,10,0.4378621851588081
Adimulyo,11,0.39106895849581486
Adimulyo,12,0.48326819498607243
Alian,1,0.7208034493062968
Alian,2,0.7552396883671293
Alian,3,0.7456672721451442
Alian,4,0.7300359231590181
Alian,5,0.7448157417289221
Alian,6,0.7542500811099253
Alian,7,0.7101491334044825
Alian,8,0.6125615816435432
Alian,9,0.5445581302027748
Alian,10,0.5117096323281249
Alian,11,0.5642838143009605
Alian,12,0.623725940234792
Ambal,1,0.7173835550780031
Ambal,2,0.7021177954527518
Ambal,3,0.6048448272111302
Ambal,4,0.5640112876008775
Ambal,5,0.6032759745062766
Ambal,6,0.6949978065167585
Ambal,7,0.6461718324428334
Ambal,8,0.5689787758396937
Ambal,9,0.5102792389194667
Ambal,10,0.46811203809372226
Ambal,11,0.4431903486876398
Ambal,12,0.5302699013491085
Ayah,1,0.7020540815076843
Ayah,2,0.7305067758541337
Ayah,3,0.7343196831287685
Ayah,4,0.7365799143119454
Ayah,5,0.7673629659850297
Ayah,6,0.7564241894110024
Ayah,7,0.7278189416070207
Ayah,8,0.688550793402112
Ayah,9,0.62408902341123
Ayah,10,0.5785643794250458
Ayah,11,0.5724859040348274
Ayah,12,0.6180260610330062
Bonorowo,1,0.5992569944444445
Bonorowo,2,0.6953024166666667
Bonorowo,3,0.6536401388888889
Bonorowo,4,0.5823724722222222
Bonorowo,5,0.5722792666666667
Bonorowo,6,0.64999865
Bonorowo,7,0.6690613666666667
Bonorowo,8,0.6159629722222223
Bonorowo,9,0.5532345888888889
Bonorowo,10,0.5010499156395892
Bonorowo,11,0.45179871082862527
Bonorowo,12,0.4700727333333334
Buayan,1,0.7318190097279954
Buayan,2,0.752101703157214
Buayan,3,0.7311501750303687
Buayan,4,0.7420419259111911
Buayan,5,0.7887473480405136
Buayan,6,0.751399479579251
Buayan,7,0.6900785532424848
Buayan,8,0.6383166424133548
Buayan,9,0.5823439429787185
Buayan,10,0.5630792997726097
Buayan,11,0.567713475529155
Buayan,12,0.6358623105629707
Buluspesantren,1,0.6994218040743604
Buluspesantren,2,0.704269263923535
Buluspesantren,3,0.6206245048039698
Buluspesantren,4,0.5897528253892718
Buluspesantren,5,0.6508771960894885
Buluspesantren,6,0.7150731405891344
Buluspesantren,7,0.6399440485111848
Buluspesantren,8,0.5907486171572228
Buluspesantren,9,0.5610409889052377
Buluspesantren,10,0.49916732308650863
Buluspesantren,11,0.47648481858943875
Buluspesantren,12,0.5441407009455981
Gombong,1,0.6644559879154079
Gombong,2,0.6537592084592145
Gombong,3,0.5366067069486405
Gombong,4,0.5569364833836858
Gombong,5,0.6918856374622356
Gombong,6,0.6262483685800605
Gombong,7,0.5384085256797583
Gombong,8,0.5555002900302115
Gombong,9,0.4543853232628399
Gombong,10,0.3902862719033233
Gombong,11,0.415863166163142
Gombong,12,0.5215712870090635
Karanganyar,1,0.7243410640776698
Karanganyar,2,0.7538942990291262
Karanganyar,3,0.7111353708737864
Karanganyar,4,0.6985030485436893
Karanganyar,5,0.7597513553398059
Karanganyar,6,0.7421305669902912
Karanganyar,7,0.6836088621359224
Karanganyar,8,0.6101364116504855
Karanganyar,9,0.5254548155339807
Karanganyar,10,0.4932729637048393
Karanganyar,11,0.5512688923459911
Karanganyar,12,0.6302132116504855
Karanggayam,1,0.6965524290393013
Karanggayam,2,0.7540153024017467
Karanggayam,3,0.7698849061135371
Karanggayam,4,0.7703264104803494
Karanggayam,5,0.7709212259825329
Karanggayam,6,0.7441960818777292
Karanggayam,7,0.7113487325327512
Karanggayam,8,0.6127734312227076
Karanggayam,9,0.5342514126637554
Karanggayam,10,0.5141893134338503
Karanggayam,11,0.5711497423580786
Karanggayam,12,0.6139961080786026
Karangsambung,1,0.7137141998231654
Karangsambung,2,0.7551588523430592
Karangsambung,3,0.7714594040671972
Karangsambung,4,0.7612013244916004
Karangsambung,5,0.7625609549071618
Karangsambung,6,0.7488448152077808
Karangsambung,7,0.7216587285587975
Karangsambung,8,0.6360257453580903
Karangsambung,9,0.5608121432360743
Karangsambung,10,0.5375071223367214
Karangsambung,11,0.5806346924344499
Karangsambung,12,0.6416477276746242
Kebumen,1,0.639346157480315
Kebumen,2,0.681610908136483
Kebumen,3,0.5991890314960631
Kebumen,4,0.5293225931758531
Kebumen,5,0.5805760393700787
