Kecamatan,Baseline_25yr_mm,LaNina_2010_mm,Ano_2010_Pct,ElNino_2015_mm,Ano_2015_Pct,LaNina_2022_mm,Ano_2022_Pct,ElNino_2023_mm,Ano_2023_Pct,Contrast_Range_mm
Sadang,3030.9,4547.6,50.0,2287.6,-24.5,4032.6,33.1,2044.0,-32.6,2260.0
Karangsambung,2986.9,4497.2,50.6,2249.8,-24.7,3985.8,33.4,2001.9,-33.0,2247.4
Karanggayam,2991.0,4500.4,50.5,2253.6,-24.7,3992.0,33.5,2005.2,-33.0,2246.9
Ayah,3002.4,4515.8,50.4,2269.0,-24.4,4000.6,33.2,2015.7,-32.9,2246.7
Rowokele,2983.8,4492.9,50.6,2248.3,-24.7,3978.1,33.3,1998.9,-33.0,2244.6
Sempor,2984.8,4493.2,50.5,2248.9,-24.7,3981.6,33.4,1998.6,-33.0,2244.3
Padureso,2973.2,4483.3,50.8,2240.6,-24.6,3969.6,33.5,1989.0,-33.1,2242.7
Poncowarno,2957.7,4464.1,50.9,2224.2,-24.8,3949.5,33.5,1975.1,-33.2,2239.9
Buayan,2966.9,4474.4,50.8,2236.4,-24.6,3961.5,33.5,1983.4,-33.1,2238.1
Alian,2953.0,4456.9,50.9,2221.5,-24.8,3946.6,33.6,1969.0,-33.3,2235.4
Pejagoan,2956.2,4459.1,50.8,2224.6,-24.7,3948.4,33.6,1972.7,-33.3,2234.5
Sruweng,2944.1,4445.7,51.0,2213.0,-24.8,3935.2,33.7,1962.5,-33.3,2232.7
Karanganyar,2936.4,4437.3,51.1,2206.7,-24.9,3927.0,33.7,1956.8,-33.4,2230.7
Prembun,2918.5,4417.6,51.4,2188.6,-25.0,3902.8,33.7,1939.9,-33.5,2229.1
Bonorowo,2941.6,4437.6,50.9,2209.6,-24.9,3925.1,33.4,1960.1,-33.4,2227.9
Kebumen,2918.9,4415.0,51.3,2187.2,-25.1,3902.2,33.7,1935.7,-33.7,2227.8
Kutowinangun,2920.5,4418.4,51.3,2190.7,-25.0,3907.2,33.8,1941.4,-33.5,2227.7
Mirit,2948.1,4441.2,50.6,2213.7,-24.9,3935.5,33.5,1967.9,-33.2,2227.4
Ambal,2941.2,4435.4,50.8,2208.0,-24.9,3927.4,33.5,1961.6,-33.3,2227.3
Buluspesantren,2935.9,4431.3,50.9,2204.3,-24.9,3922.5,33.6,1956.1,-33.4,2227.0
Petanahan,2927.8,4424.4,51.1,2197.9,-24.9,3915.8,33.7,1948.1,-33.5,2226.5
Puring,2929.5,4425.5,51.1,2200.0,-24.9,3915.0,33.6,1950.4,-33.4,2225.4
Klirong,2928.0,4423.1,51.1,2197.9,-24.9,3915.4,33.7,1947.6,-33.5,2225.2
Gombong,2901.7,4395.8,51.5,2173.0,-25.1,3882.2,33.8,1924.0,-33.7,2222.9
Adimulyo,2910.2,4404.0,51.3,2182.5,-25.0,3890.0,33.7,1932.4,-33.6,2221.5
Kuwarasan,2906.6,4400.8,51.4,2179.3,-25.0,3887.1,33.7,1929.8,-33.6,2221.5
