year,month,year_month,chirps_raw_mm,gsmap_raw_mm,era5_t2m_c,era5_tdew_c,era5_rh_pct,era5_ws_ms,era5_sp_hpa,ndvi_mean
2001,1,2001_01,456.39,340.14,24.42,22.39,88.46,1.22,986.88,0.63
2001,2,2001_02,254.86,202.29,24.27,22.18,88.14,1.56,986.35,0.7501
2001,3,2001_03,423.9,333.97,24.56,22.57,88.71,1.17,987.59,0.6574
2001,4,2001_04,415.2,274.69,24.68,22.57,88.05,1.16,987.91,0.6443
2001,5,2001_05,240.84,70.53,24.89,22.29,85.48,1.36,988.51,0.7138
2001,6,2001_06,269.34,119.72,24.02,21.8,87.44,1.35,988.57,0.6433
2001,7,2001_07,221.37,41.01,23.49,20.9,85.43,1.58,989.1,0.6832
2001,8,2001_08,39.02,0.14,23.53,19.92,80.21,2.04,989.89,0.6255
2001,9,2001_09,91.55,22.13,24.55,21.59,83.6,2.04,989.56,0.4782
2001,10,2001_10,802.05,565.25,24.48,22.44,88.42,1.25,988.79,0.462
2001,11,2001_11,443.81,319.32,24.54,22.63,89.17,1.21,988.41,0.4427
2001,12,2001_12,241.58,119.57,24.24,21.57,85.09,1.38,989.17,0.6406
2002,1,2002_01,300.95,239.41,24.71,22.63,88.24,1.05,988.07,0.7472
2002,2,2002_02,332.53,224.41,24.78,22.58,87.6,1.31,988.66,0.7475
2002,3,2002_03,306.67,109.54,25.04,22.83,87.57,1.08,988.02,0.6484
2002,4,2002_04,238.12,114.97,25.09,22.83,87.32,1.2,987.58,0.6748
2002,5,2002_05,104.87,70.63,25.03,22.46,85.69,1.35,988.44,0.7109
2002,6,2002_06,35.26,25.12,24.18,21.26,83.77,1.8,989.1,0.7067
2002,7,2002_07,26.52,48.25,24.21,20.78,81.15,1.97,990.13,0.6313
2002,8,2002_08,41.9,0.07,23.65,18.97,75.07,2.29,990.6,0.5629
2002,9,2002_09,12.3,0.11,24.01,19.68,76.79,2.29,991.31,0.4706
2002,10,2002_10,67.5,22.33,25.37,20.83,75.97,1.9,989.69,0.4648
2002,11,2002_11,449.61,299.93,25.09,22.65,86.35,1.41,988.91,0.4176
2002,12,2002_12,454.53,178.4,25.01,22.85,87.8,1.05,988.98,0.5299
2003,1,2003_01,343.31,286.53,24.62,22.3,86.94,1.46,989.17,0.6993
2003,2,2003_02,430.05,367.16,24.81,22.78,88.53,1.22,987.74,0.7486
2003,3,2003_03,337.72,335.99,25.18,22.74,86.36,1.14,988.48,0.739
2003,4,2003_04,101.85,140.67,25.4,22.93,86.2,1.27,988.25,0.6538
2003,5,2003_05,151.97,215.68,24.78,22.27,85.98,1.46,988.55,0.6771
2003,6,2003_06,8.96,47.38,24.49,21.58,83.88,1.67,989.07,0.7011
2003,7,2003_07,19.04,0.0,23.15,19.89,81.9,2.07,990.45,0.6424
2003,8,2003_08,42.8,0.87,23.39,19.31,77.89,2.09,990.35,0.5639
2003,9,2003_09,66.42,50.66,23.95,20.46,80.87,2.22,990.57,0.4181
2003,10,2003_10,309.18,229.47,24.0,21.82,87.63,1.85,989.91,0.432
2003,11,2003_11,441.03,301.19,24.63,22.53,88.11,1.22,988.62,0.4565
2003,12,2003_12,425.54,447.47,24.42,22.5,89.06,1.31,988.49,0.5241
2004,1,2004_01,348.56,296.73,24.88,22.84,88.43,1.19,988.18,0.6621
2004,2,2004_02,352.23,242.71,24.72,22.69,88.5,1.37,988.02,0.7331
2004,3,2004_03,461.01,296.01,24.76,22.72,88.43,1.21,988.0,0.6527
2004,4,2004_04,225.56,152.15,25.28,23.05,87.46,1.23,988.46,0.6412
2004,5,2004_05,192.38,313.39,24.59,22.64,88.95,1.31,988.43,0.6931
2004,6,2004_06,102.58,75.88,23.46,20.87,85.43,1.55,990.17,0.7313
2004,7,2004_07,192.54,88.95,23.86,21.48,86.55,1.48,989.23,0.6709
2004,8,2004_08,36.9,7.99,23.13,19.72,81.14,2.15,990.79,0.6313
2004,9,2004_09,20.9,17.99,24.12,21.09,83.21,2.06,990.22,0.5273
2004,10,2004_10,61.21,42.51,24.63,21.19,81.16,1.73,990.34,0.446
2004,11,2004_11,415.31,452.22,24.76,22.72,88.46,1.19,988.67,0.5434
2004,12,2004_12,517.12,428.55,24.6,22.63,88.8,1.15,988.08,0.5758
2005,1,2005_01,340.86,503.63,24.79,22.6,87.67,1.2,988.35,0.7004
2005,2,2005_02,282.84,248.8,25.17,22.97,87.62,1.12,989.15,0.7602
2005,3,2005_03,512.23,420.98,25.34,23.02,87.03,1.11,988.91,0.6926
2005,4,2005_04,202.0,193.34,25.13,22.9,87.47,1.08,989.29,0.6502
2005,5,2005_05,180.28,349.66,25.23,22.66,85.72,1.25,988.34,0.6827
2005,6,2005_06,198.23,277.66,24.75,22.7,88.37,1.17,988.2,0.74
2005,7,2005_07,152.98,157.8,23.66,21.36,86.95,1.61,989.69,0.6957
2005,8,2005_08,137.62,60.1,23.45,20.82,85.19,1.96,990.12,0.5985
2005,9,2005_09,116.19,306.11,24.06,21.48,85.48,1.89,990.11,0.5271
2005,10,2005_10,375.8,275.26,24.41,22.22,87.58,1.55,989.28,0.4906
2005,11,2005_11,468.84,461.15,24.61,22.15,86.17,1.4,988.7,0.4737
2005,12,2005_12,478.83,494.32,24.27,22.53,90.07,1.12,987.11,0.406
2006,1,2006_01,437.4,361.32,24.42,22.42,88.66,1.34,987.14,0.6969
2006,2,2006_02,305.94,332.7,24.77,22.84,89.03,1.25,987.83,0.7073
2006,3,2006_03,403.5,235.91,25.0,22.72,87.2,1.23,987.19,0.6514
2006,4,2006_04,216.35,207.37,24.65,22.61,88.44,1.18,987.71,0.6531
2006,5,2006_05,263.26,224.22,24.57,22.48,88.18,1.22,988.75,0.7344
2006,6,2006_06,41.58,76.44,23.58,21.07,85.86,1.92,989.61,0.7095
2006,7,2006_07,25.28,15.63,23.1,20.33,84.41,1.99,990.64,0.6443
2006,8,2006_08,49.11,1.74,23.11,19.31,79.23,2.21,990.64,0.5906
2006,9,2006_09,14.49,0.0,23.43,18.83,75.43,2.15,991.02,0.5215
2006,10,2006_10,30.0,14.52,24.85,20.4,76.37,1.98,990.9,0.5019
2006,11,2006_11,182.29,77.04,25.68,22.43,82.27,1.53,988.56,0.4887
2006,12,2006_12,334.74,172.25,25.29,22.99,87.09,1.2,987.73,0.5312
2007,1,2007_01,148.07,154.94,24.98,21.97,83.41,1.39,988.79,0.6794
2007,2,2007_02,306.66,338.64,24.83,22.71,88.04,1.08,988.33,0.7387
2007,3,2007_03,409.06,189.36,24.76,22.66,88.12,1.47,987.2,0.7029
2007,4,2007_04,336.69,295.83,24.92,23.12,89.76,0.99,988.27,0.7005
2007,5,2007_05,215.94,201.5,24.99,22.88,88.1,1.29,988.6,0.705
2007,6,2007_06,98.25,145.77,24.18,21.97,87.45,1.52,987.44,0.7326
2007,7,2007_07,36.03,6.69,23.62,21.13,85.99,1.79,989.28,0.6889
2007,8,2007_08,61.45,6.14,23.02,20.12,83.75,2.28,989.95,0.598
2007,9,2007_09,19.49,53.58,23.48,19.9,80.36,2.17,989.92,0.4992
2007,10,2007_10,202.34,245.27,24.59,21.48,82.83,1.69,988.93,0.4312
2007,11,2007_11,473.58,423.63,24.44,22.03,86.44,1.35,988.09,0.463
2007,12,2007_12,644.8,449.14,24.79,22.77,88.56,1.24,986.14,0.5642
2008,1,2008_01,243.23,244.69,24.68,22.48,87.61,1.44,987.25,0.7423
2008,2,2008_02,420.65,427.36,24.76,22.46,87.08,1.46,986.45,0.7101
2008,3,2008_03,383.1,211.25,24.6,22.48,88.02,1.08,987.11,0.6884
2008,4,2008_04,236.01,90.17,24.85,22.6,87.3,1.17,987.12,0.6621
2008,5,2008_05,68.53,26.11,23.99,21.47,85.78,1.66,988.84,0.6966
2008,6,2008_06,12.52,11.75,23.95,21.29,85.11,1.62,989.28,0.7138
2008,7,2008_07,25.71,2.64,22.93,19.52,81.11,2.09,989.89,0.6256
2008,8,2008_08,50.21,31.77,23.83,20.64,82.39,2.17,989.53,0.5131
2008,9,2008_09,47.81,28.41,24.36,20.97,81.43,2.09,989.94,0.5098
2008,10,2008_10,313.26,296.06,24.89,22.41,86.13,1.48,988.99,0.5059
2008,11,2008_11,555.66,410.12,24.7,22.74,88.89,1.06,987.24,0.5328
2008,12,2008_12,445.66,386.33,24.41,22.27,87.84,1.23,987.24,0.5267
2009,1,2009_01,369.15,386.46,24.53,22.29,87.38,1.45,987.83,0.7214
2009,2,2009_02,367.01,295.28,24.48,22.44,88.4,1.38,986.64,0.7473
2009,3,2009_03,259.91,115.37,24.88,22.53,86.77,1.13,987.95,0.6924
2009,4,2009_04,342.92,215.85,25.2,23.05,87.89,1.06,987.87,0.6732
2009,5,2009_05,350.35,254.43,24.97,22.85,88.04,1.17,987.48,0.7396
2009,6,2009_06,148.03,187.61,24.65,22.27,86.62,1.33,989.02,0.7549
