Kecamatan,Luas_Piksel_250m,Mean_Tahunan_mm,Min_Tahunan_mm,Max_Tahunan_mm,Std_Dev_mm,CV_Pct,Sens_Slope_mm_thn
Sadang,974,3030.9,1962.6,4623.3,707.1,23.3,23.49
Ayah,1355,3002.4,1941.4,4585.3,703.0,23.4,23.34
Karanggayam,1832,2991.0,1930.1,4574.8,703.3,23.5,24.61
Karangsambung,1132,2986.9,1927.2,4569.7,703.1,23.5,24.31
Sempor,1609,2984.8,1924.0,4564.9,702.5,23.5,24.39
Rowokele,905,2983.8,1924.7,4561.3,702.2,23.5,24.5
Padureso,436,2973.2,1916.9,4551.8,701.1,23.6,24.23
Buayan,1127,2966.9,1911.5,4539.4,700.1,23.6,24.23
Poncowarno,457,2957.7,1903.9,4534.3,700.3,23.7,24.74
Pejagoan,587,2956.2,1901.3,4533.0,700.1,23.7,24.95
Alian,936,2953.0,1900.1,4530.0,700.0,23.7,24.81
Mirit,916,2948.1,1896.6,4512.2,698.7,23.7,24.84
Sruweng,743,2944.1,1891.8,4518.5,699.2,23.7,24.85
Bonorowo,352,2941.6,1893.1,4505.3,697.6,23.7,24.69
Ambal,1044,2941.2,1892.2,4508.3,698.0,23.7,24.69
Karanganyar,528,2936.4,1886.3,4509.0,698.3,23.8,24.79
Buluspesantren,857,2935.9,1887.5,4507.4,698.1,23.8,24.7
Puring,1066,2929.5,1881.7,4498.7,696.7,23.8,24.79
Klirong,721,2928.0,1879.0,4499.4,697.4,23.8,24.87
Petanahan,770,2927.8,1877.6,4497.8,697.5,23.8,24.91
Kutowinangun,574,2920.5,1873.3,4492.9,697.7,23.9,24.74
Kebumen,759,2918.9,1869.4,4488.5,698.4,23.9,24.82
Prembun,392,2918.5,1872.4,4487.0,697.1,23.9,24.66
Adimulyo,721,2910.2,1863.8,4473.6,695.6,23.9,24.82
Kuwarasan,576,2906.6,1860.5,4468.0,695.6,23.9,24.81
Gombong,335,2901.7,1853.4,4463.8,696.2,24.0,24.9
