Kecamatan,GSMaP_Mean_mm,CHIRPS_Mean_mm,Fused_Mean_mm,Diff_GSMaP_CHIRPS_mm,Diff_Pct,Contrast_GSMaP_mm,Contrast_CHIRPS_mm
Sadang,2614.8,3379.2,3039.2,-764.4,-22.6,2056.6,2402.3
Ayah,2584.0,3331.9,3004.9,-747.8,-22.4,2046.9,2397.5
Karanggayam,2581.1,3327.1,2994.8,-746.0,-22.4,2046.2,2400.7
Karangsambung,2579.6,3325.1,2990.8,-745.5,-22.4,2045.8,2401.0
Rowokele,2578.1,3322.9,2987.7,-744.8,-22.4,2046.1,2400.9
Sempor,2576.0,3318.5,2987.2,-742.5,-22.4,2044.8,2400.5
Padureso,2566.8,3305.4,2976.3,-738.6,-22.3,2042.0,2399.2
Buayan,2558.7,3293.3,2967.7,-734.6,-22.3,2040.1,2397.1
Poncowarno,2554.3,3287.0,2959.7,-732.7,-22.3,2039.1,2399.1
Pejagoan,2553.7,3285.4,2956.8,-731.7,-22.3,2038.5,2397.1
Alian,2550.9,3281.1,2952.8,-730.2,-22.3,2037.6,2397.1
Mirit,2542.7,3269.4,2943.7,-726.6,-22.2,2034.4,2391.3
Sruweng,2544.7,3272.0,2943.6,-727.3,-22.2,2036.4,2397.3
Ambal,2541.0,3267.1,2937.3,-726.1,-22.2,2034.3,2391.5
Bonorowo,2538.8,3264.9,2936.6,-726.1,-22.2,2033.2,2389.4
Karanganyar,2540.9,3264.5,2934.9,-723.6,-22.2,2035.2,2397.0
Buluspesantren,2538.7,3264.0,2932.9,-725.2,-22.2,2034.2,2392.6
Klirong,2534.9,3258.1,2926.2,-723.1,-22.2,2033.9,2394.7
Puring,2533.6,3256.3,2925.8,-722.7,-22.2,2032.7,2393.9
Petanahan,2533.3,3255.8,2924.7,-722.5,-22.2,2033.4,2393.7
Kutowinangun,2527.1,3246.0,2919.4,-718.9,-22.1,2033.0,2397.5
Prembun,2524.7,3242.7,2915.8,-717.9,-22.1,2032.1,2396.9
Kebumen,2522.8,3238.7,2915.7,-715.8,-22.1,2031.4,2397.4
Adimulyo,2517.5,3231.2,2905.2,-713.6,-22.1,2029.5,2396.4
Kuwarasan,2516.0,3227.7,2901.8,-711.7,-22.1,2029.0,2396.9
Gombong,2514.5,3222.2,2896.0,-707.6,-22.0,2028.8,2397.7
