date,station_id,station_name,kecamatan,longitude,latitude,elevation_m,rainfall_mm
2020-01-01,ST_01,Pos Hujan Ayah Pesisir,Ayah,109.43969,-7.69769,350.0,37.6
2020-01-01,ST_02,Pos Hujan Buayan,Buayan,109.47271,-7.64872,159.0,37.5
2020-01-01,ST_03,Pos Hujan Rowokele,Rowokele,109.42121,-7.65175,17.0,39.4
2020-01-01,ST_04,Pos Hujan Sempor Waduk,Sempor,109.48118,-7.55757,78.0,33.5
2020-01-01,ST_05,Pos Hujan Sempor Hulu,Sempor,109.50092,-7.58426,25.0,31.1
2020-01-01,ST_06,Pos Hujan Gombong Kota,Gombong,109.52569,-7.63553,14.0,31.6
2020-01-01,ST_07,Pos Hujan Kuwarasan,Kuwarasan,109.50431,-7.67911,8.0,36.6
2020-01-01,ST_08,Pos Hujan Puring,Puring,109.51652,-7.70433,11.0,34.0
2020-01-01,ST_09,Pos Hujan Petanahan,Petanahan,109.57289,-7.73008,8.0,30.3
2020-01-01,ST_10,Pos Hujan Klirong,Klirong,109.63629,-7.78374,6.0,33.5
2020-01-01,ST_11,Pos Hujan Karanganyar,Karanganyar,109.58032,-7.63386,18.0,34.1
2020-01-01,ST_12,Pos Hujan Karanggayam Lereng,Karanggayam,109.59207,-7.60258,250.0,42.5
2020-01-01,ST_13,Pos Hujan Karanggayam Puncak,Karanggayam,109.63868,-7.5556,63.0,32.5
2020-01-01,ST_14,Pos Hujan Sadang Kulon,Sadang,109.70679,-7.49279,385.0,40.2
2020-01-01,ST_15,Pos Hujan Sadang Wetan,Sadang,109.7296,-7.52571,149.0,35.6
2020-01-01,ST_16,Pos Hujan Pejagoan,Pejagoan,109.66435,-7.58315,130.0,29.9
2020-01-01,ST_17,Stasiun Klimatologi Kebumen Kota,Kebumen,109.67162,-7.70396,15.0,33.9
2020-01-01,ST_18,Pos Hujan Alian,Alian,109.68469,-7.62856,34.0,35.1
2020-01-01,ST_19,Pos Hujan Padureso Waduk,Padureso,109.76825,-7.61473,144.0,36.2
2020-01-01,ST_20,Pos Hujan Wadaslintang Bendungan,Wadaslintang,109.81835,-7.72027,8.0,31.5
2020-01-01,ST_21,Pos Hujan Poncowarno,Poncowarno,109.76215,-7.641,139.0,29.6
2020-01-01,ST_22,Pos Hujan Kutowinangun,Kutowinangun,109.76918,-7.72765,10.0,30.7
2020-01-01,ST_23,Pos Hujan Prembun,Prembun,109.79275,-7.72654,11.0,31.1
2020-01-01,ST_24,Pos Hujan Bonorowo,Bonorowo,109.83178,-7.75192,10.0,29.0
2020-01-01,ST_25,Pos Hujan Mirit,Mirit,109.77948,-7.79442,20.0,31.1
2020-01-01,ST_26,Pos Hujan Ambal,Ambal,109.75273,-7.75236,11.0,33.6
