model,fold,KGE,RMSE,MAE,PBIAS,R2,Pearson_r,KGE_alpha,KGE_beta
ANUSPLIN,1,-0.3404,58.046,54.521,22.03,-29.6061,-0.2706,1.3658,1.2203
PRISM,1,-0.6625,12.498,9.996,2.54,-0.4188,-0.3786,0.0712,1.0254
Regression_Kriging,1,-0.8129,14.048,11.784,3.1,-0.7927,-0.6174,0.1816,1.031
Ordinary_Kriging,1,-0.2818,27.539,24.942,10.08,-5.8888,-0.119,0.3829,1.1008
KED_Elevation,1,-1.1062,15.236,12.662,4.29,-1.1087,-0.8776,0.0468,1.0429
IDW,1,-0.2605,23.638,21.18,8.56,-4.0754,0.0731,0.15,1.0856
GWR,1,-0.8952,13.716,10.999,3.36,-0.7089,-0.6453,0.0599,1.0336
Spatial_RandomForest,1,-0.8152,14.269,12.069,3.43,-0.8493,-0.6008,0.1447,1.0343
RFSI,1,-0.867,20.405,17.588,6.82,-2.7822,-0.6522,0.1331,1.0682
Spatial_XGBoost,1,-0.4425,11.235,9.214,1.14,-0.1467,-0.1672,0.1525,1.0114
Spatial_LightGBM,1,-0.4174,25.723,23.486,9.49,-5.0106,0.0,0.0,1.0949
Conditional_Merging,1,-4.488,108.317,82.416,33.3,-105.5751,-0.3132,6.3181,1.333
Ensemble_Mean,1,-0.4904,21.752,19.19,7.2,-3.2979,-0.3528,0.3785,1.072
ANUSPLIN,2,-0.5905,7.547,5.749,-1.38,-6.2209,-0.3398,1.8571,0.9862
PRISM,2,-0.9611,6.677,6.088,0.51,-4.6534,-0.9242,1.3788,1.0051
Regression_Kriging,2,-0.5762,5.232,4.43,-0.97,-2.4713,-0.5703,0.8639,0.9903
Ordinary_Kriging,2,-1.143,8.438,7.257,-0.52,-8.0266,-0.8601,2.0641,0.9948
KED_Elevation,2,-0.5233,4.886,3.782,1.51,-2.0268,-0.3207,0.2411,1.0151
IDW,2,-0.9054,14.877,13.414,5.36,-27.0621,-0.8688,1.3679,1.0536
GWR,2,-0.9386,6.098,4.939,1.27,-3.7156,-0.9351,0.8844,1.0127
Spatial_RandomForest,2,-0.5688,6.367,5.651,-1.18,-4.1401,-0.5436,1.2801,0.9882
RFSI,2,-0.8247,9.326,8.631,2.51,-10.0274,-0.706,1.6471,1.0251
Spatial_XGBoost,2,-1.0389,7.013,6.933,-0.32,-5.2364,-0.9782,1.4938,0.9968
Spatial_LightGBM,2,-0.4162,18.87,18.66,7.46,-44.1477,0.0,0.0,1.0746
Conditional_Merging,2,-2.0388,12.266,11.115,-1.14,-18.0764,-0.5517,3.6128,0.9886
Ensemble_Mean,2,-0.9114,5.813,5.324,-0.54,-3.284,-0.9104,1.0597,0.9946
ANUSPLIN,3,-0.0811,25.841,15.538,3.6,-0.4483,0.987,2.0804,1.036
PRISM,3,0.8047,18.279,16.528,-5.72,0.2753,0.9257,0.8286,0.9428
Regression_Kriging,3,-0.1611,25.309,14.092,-4.96,-0.3894,0.2144,0.1464,0.9504
Ordinary_Kriging,3,-0.0797,35.641,28.976,-10.2,-1.7552,0.4394,0.0829,0.898
KED_Elevation,3,0.5664,17.434,13.659,-4.81,0.3407,0.9364,0.5738,0.9519
IDW,3,-0.0876,35.127,28.399,-10.0,-1.6763,0.3777,0.1136,0.9
GWR,3,0.6856,14.394,11.591,-4.08,0.5506,0.9545,0.6916,0.9592
Spatial_RandomForest,3,-0.3142,27.974,17.933,-6.31,-0.6974,0.0488,0.0955,0.9369
RFSI,3,-0.1043,26.347,16.215,-5.71,-0.5057,0.349,0.1098,0.9429
Spatial_XGBoost,3,0.0736,22.825,12.653,-3.9,-0.13,0.372,0.3201,0.961
Spatial_LightGBM,3,-0.4173,34.04,26.414,-9.3,-1.5133,0.0,0.0,0.907
Conditional_Merging,3,-0.1583,59.108,51.111,17.99,-6.5778,0.8539,2.1348,1.1799
Ensemble_Mean,3,0.7574,10.159,8.108,-2.74,0.7761,0.9773,0.76,0.9726
ANUSPLIN,4,-2.8399,158.275,146.118,54.58,-148.9524,0.0905,4.6905,1.5458
PRISM,4,0.2999,13.671,10.175,0.28,-0.1187,0.8011,1.6713,1.0028
Regression_Kriging,4,0.7568,31.147,30.266,11.31,-4.8071,0.824,0.8759,1.1131
Ordinary_Kriging,4,-6.8968,169.703,148.286,-46.23,-171.3884,-0.125,8.8025,0.5377
KED_Elevation,4,0.1044,15.871,12.291,-0.43,-0.5078,0.8035,1.8737,0.9957
IDW,4,-0.2183,13.11,11.126,-0.72,-0.0288,0.083,0.198,0.9928
GWR,4,0.1753,15.031,11.018,0.11,-0.3524,0.8027,1.8008,1.0011
Spatial_RandomForest,4,0.5615,9.574,7.294,-1.06,0.4513,0.7077,0.6733,0.9894
RFSI,4,0.5274,11.28,9.98,2.46,0.2384,0.7104,0.6273,1.0246
Spatial_XGBoost,4,0.6761,9.593,8.886,-1.15,0.4492,0.8376,1.28,0.9885
Spatial_LightGBM,4,-0.4143,13.363,11.233,-1.27,-0.0689,0.0,0.0,0.9873
Conditional_Merging,4,-5.9049,181.064,158.835,-55.48,-195.2419,-0.1697,7.7824,0.4452
Ensemble_Mean,4,0.2366,46.803,43.512,16.25,-12.1125,0.556,1.5994,1.1625
